南青雀#1#            凉不了，光撕b都能撕一波热度。不过我挺希望它是温的，粉丝就在自己圈子里待着，不要祸害别的圈子了。#2020-02-25 08:40
沅舟子#8#            魔道也没凉吧#2020-02-25 09:21
不回复#1#            耽美只是虚火 动漫能火个mdzs算很不错了#2020-02-25 09:32
love爱吃酥油饼#1#            动漫就那样火不出圈的，大火的还不是真人，腐女更是小部分，魔道真人一出现在还不是被真人吸血了，天官有墨香铜臭这四个大字就劝退一大部分人#2020-02-25 09:42
bitt瀑#12#            解药画风不错，可惜帧数太低。七灵石不出铁鸥，出了个耽美番，可惜剧情节奏都不咋样。我有点担心铁鸥的质量了。#2020-02-25 10:37
茜色汐影#1#            主要天官的画风横向比较赶不上同作者的另一部作品魔道；纵向比赶不上天官本身的很多同人图，看pv觉得太子的脸太简陋了#2020-02-25 12:03
猫幼_兜#1#            天官不会凉，但是也火不到哪去#2020-02-25 12:39
洛川群侠粉丝#1#            对了，天宫那个疼疼疼得片段第一季会做到不。我现在就在等这个呢#2020-02-25 12:56
MT福音#12#            天官不会凉#2020-02-25 12:58
天子七绝圣手#1#            别小看了饭圈，天官吸引一下她们都火力就好#2020-02-25 14:07
七彩芒芒#1#            魔道画风已经很丑了。难以想象天官得丑成什么样#2020-02-25 16:38
楚殇羽#13#            腾讯是不是只有穿书和默读#2020-02-25 17:09
-十三鸦居-#1#            质量不行是活该糊阿#2020-02-25 17:10
云上景仙#1#            解药第一集剧情就无聊的不行，因为我没看过原著作为路人真没兴趣追番了。星光那个动作也僵硬，画风……谁给的勇气鼻子点个快看不见的点就行了，艾玛，看的我贼尴尬，一集都没看完#2020-02-25 17:15
ag1166#9#            B站现在也是一个大流量平台了，天官和天宝出来的时候，就可以看到B站真正的奶力了#2020-02-25 19:49
冬眠的肥蛇#15#            可怕#2020-02-25 21:58
骂我的都反弹#8#            有一说一，魔道画风我觉得不好看。天官比魔道好一点，但也只能算一般般#2020-02-25 23:14
别跟我说二#11#            本身ip热度问题。#2020-02-26 08:58
瑶控器#1#            emmmm，天官画风可以，如果继续保持并且不魔改的话，不会凉(=_=)#2020-02-26 11:19
夜疯煌#1#            从不看饭圈的脏东西，一部作品如果被粉圈入侵无所谓，写出来就是吸引饭圈的东西俗称米田共#2020-02-26 11:32
长夜星球#1#            天官不会凉的 ，墨香铜臭能吸引的流量数量非常可观。等着看他家的粉黑大战就行了，两边都挺疯的#2020-02-26 13:56
不见天真#1#            我想看疼疼疼疼疼疼疼#2020-02-27 08:35
隐隐#1#            我也想看一页纸的疼疼疼，老***。这动画屑站不会让它凉的，抄王都能力压疫情在热搜挂了快一个月，更何况这个粉黑大战的主场。#2020-02-27 10:37
聊天赚#1#            粉丝就算想凉，黑子肯定也是上赶着去喷，到时候两边撕起来热度不会低#2020-02-29 11:42
热水ok#1#            我还指望看庭审呢#2020-02-29 11:44
籺酥#1#            动画画风不太好害，漫画真的可以#2020-02-29 15:12
老子名叫魏婴#1#            天官都播了？#2020-02-29 19:19
小甜景#1#            能被选去做漫画的剧情都过关的。。只要制作过关，基本就能爆，期待的人不会少。。然鹅，就说之前语笑阑珊那个《帝王攻略》吧，那个画风，我觉得吧，直接就不能说是动漫了，叫动画片差不多，还不如我小时候看的中华小子。。看了两集，弃了，画风劝退。#2020-03-01 17:04
凤余#1#            疼疼疼疼疼疼疼疼疼疼疼疼疼疼疼疼疼疼疼疼疼疼疼疼疼疼疼疼疼疼疼疼疼疼疼疼疼疼疼疼疼疼疼疼疼疼疼疼疼疼疼疼疼疼疼疼疼疼疼疼疼疼疼疼疼疼疼疼疼疼疼疼疼疼疼疼疼疼疼疼疼疼疼疼疼疼疼疼疼疼疼疼疼疼疼疼疼疼疼#2020-03-01 17:25
江风入海#1# 真的不好看，画面不行，演出不行，题材小众，能火才有鬼#2020-03-01 18:27
